Location,Positive_Cases,Last_updated,Last_updated_time
Genesee,2,3/25/2020,13:46
Greene,4,3/25/2020,13:46
Hamilton,2,3/25/2020,13:46
Herkimer,5,3/25/2020,13:46
Jefferson,2,3/25/2020,13:46
Livingston,3,3/25/2020,13:46
Madison,7,3/25/2020,13:46
Monroe,118,3/25/2020,13:46
Montgomery,4,3/25/2020,13:46
Nassau,"3,285",3/25/2020,13:46
Niagara,12,3/25/2020,13:46
New York City,"17,856",3/25/2020,13:46
Oneida,9,3/25/2020,13:46
Onondaga,65,3/25/2020,13:46
Ontario,9,3/25/2020,13:46
Orange,638,3/25/2020,13:46
Orleans,2,3/25/2020,13:46
Oswego,2,3/25/2020,13:46
Otsego,2,3/25/2020,13:46
Putnam,84,3/25/2020,13:46
Rensselaer,31,3/25/2020,13:46
Rockland,968,3/25/2020,13:46
Saratoga,64,3/25/2020,13:46
Schenectady,55,3/25/2020,13:46
Schoharie,2,3/25/2020,13:46
St. Lawrence,1,3/25/2020,13:46
Steuben,8,3/25/2020,13:46
Suffolk,"2,260",3/25/2020,13:46
Sullivan,39,3/25/2020,13:46
Tioga,1,3/25/2020,13:46
Tompkins,16,3/25/2020,13:46
Ulster,65,3/25/2020,13:46
Warren,2,3/25/2020,13:46
Washington,4,3/25/2020,13:46
Wayne,7,3/25/2020,13:46
Westchester,"4,691",3/25/2020,13:46
Wyoming,4,3/25/2020,13:46
Total Number of Positive Cases,"30,811",3/25/2020,13:46
Albany,171,3/26/2020,13:49
Allegany,2,3/26/2020,13:49
Broome,16,3/26/2020,13:49
Cayuga,2,3/26/2020,13:49
Chautauqua,1,3/26/2020,13:49
Chemung,7,3/26/2020,13:49
Chenango,3,3/26/2020,13:49
Clinton,11,3/26/2020,13:49
Columbia,13,3/26/2020,13:49
Cortland,2,3/26/2020,13:49
Delaware,7,3/26/2020,13:49
Dutchess,190,3/26/2020,13:49
Erie,134,3/26/2020,13:49
Essex,4,3/26/2020,13:49
Franklin,1,3/26/2020,13:49
Fulton,1,3/26/2020,13:49
Genesee,4,3/26/2020,13:49
Greene,5,3/26/2020,13:49
Hamilton,2,3/26/2020,13:49
Herkimer,7,3/26/2020,13:49
Jefferson,3,3/26/2020,13:49
Livingston,3,3/26/2020,13:49
Madison,9,3/26/2020,13:49
Monroe,139,3/26/2020,13:49
